ID,Name,Ref,RAdeg,DEdeg,Rad_arcmin,gmag,rmag,RVel,e_RVel,r_RVel,Notes,TotL,Rank,in_candidate_catalog,selected_085,selected_gold_silver_085,outside_10,valid_r
224777.0,GC0492,"r,y",201.235925,-43.206538,11.76,21.33,20.78,713.0,28.0,r,,0.0581,silver,True,False,False,True,True
,C118,"l,n,u,y",201.23832,-43.145195,8.63,21.82,21.02,,,,,,,False,False,False,False,True
,HHH86-31,"c,d,f,g,h,i,n,o,q,r,u,y",201.239291,-43.018916,5.47,18.89,18.04,685.0,9.0,r,,,,False,False,False,False,True
,HGHH-G369,"d,g,i,j,n,o,q,u,y",201.239621,-42.989794,6.0,19.11,18.46,481.0,22.0,q,,,,False,False,False,False,True
,pff-gc-025,"g,i,n,q,u,y",201.239762,-43.09244,6.43,20.43,19.62,864.0,30.0,q,,,,False,False,False,False,True
,220,"i,l,n,u,y",201.240391,-42.930081,8.2,20.86,20.76,,,,,,,False,False,False,False,True
,GC0452,"q,r,u,y",201.240699,-42.981,6.2,21.66,20.98,643.0,39.0,r,,,,False,False,False,False,True
,174,"i,r,u,y",201.241241,-43.118419,7.35,21.03,20.24,559.0,40.0,r,,,,False,False,False,False,True
225302.0,C120,"l,n,u,y",201.241484,-42.868045,11.26,22.34,21.57,,,,,1.0,bronze,True,True,False,True,True
,HHH86-3,"c,g,i,j,l,m,n,o,q,r,u,y",201.242543,-42.936099,7.87,18.1,17.3,561.0,1.0,r,,,,False,False,False,False,True
225436.0,GC0494,"r,y",201.242917,-43.309329,17.35,20.9,20.24,676.0,42.0,r,,0.9997,silver,True,True,True,True,True
,C121,"l,n,y",201.243416,-43.139222,8.2,,,,,,,,,False,False,False,False,False
225494.0,pff-gc-026,"g,i,n,o,y",201.243553,-42.71481,19.83,19.9,19.35,580.0,114.0,o,,1.0,silver,True,True,True,True,True
,GC0453,"q,r,u,y",201.244161,-42.971258,6.4,19.46,18.63,620.0,9.0,r,,,,False,False,False,False,True
,GC0581,"r,u,y",201.24436,-42.968191,6.5,20.65,20.15,524.0,74.0,r,,,,False,False,False,False,True
225693.0,GC0495,"r,y",201.245693,-43.191146,10.74,21.09,20.25,508.0,15.0,r,1.0,0.5945,gold,True,False,False,True,True
,C122,"l,n,y",201.245875,-43.139278,8.14,,,,,,,,,False,False,False,False,False
,209,"i,r,u,x,y",201.248263,-43.111332,6.84,21.53,20.63,726.0,30.0,r,,,,False,False,False,False,True
,GC0496,"r,u,y",201.249173,-42.959212,6.68,20.49,19.88,581.0,18.0,r,,,,False,False,False,False,True
,C123,"l,n,r,u,x,y",201.249699,-43.15238,8.67,21.15,20.5,374.0,34.0,r,,,,False,False,False,False,True
,GC0096,"n,o,u,x,y",201.250616,-42.902458,9.27,20.93,20.16,699.0,43.0,o,,,,False,False,False,False,True
226182.0,C124,"l,n,y",201.251577,-43.179711,10.02,22.38,21.9,,,,,1.0,bronze,True,True,False,True,True
,pff-gc-027,"g,i,n,o,q,r,u,x,y",201.252625,-43.091744,5.94,20.22,19.4,503.0,21.0,r,,,,False,False,False,False,True
226340.0,C125,"l,n,r,y",201.253473,-43.18628,10.33,21.5,20.83,941.0,66.0,r,,0.023,silver,True,False,False,True,True
226362.0,GC0497,"r,y",201.253743,-43.352118,19.69,21.49,20.51,478.0,21.0,r,1.0,0.7061,gold,True,False,False,True,True
,C126,"l,n,y",201.253791,-43.154028,8.65,,,,,,,,,False,False,False,False,False
,pff-gc-028,"g,i,n,r,u,y",201.254804,-42.947642,6.99,19.19,18.46,516.0,10.0,r,2.0,,,False,False,False,False,True
,GC0582,"r,u,y",201.255099,-43.067093,5.12,21.11,20.23,539.0,28.0,r,,,,False,False,False,False,True
,C127,"l,n,y",201.255508,-43.14537,8.18,22.33,21.65,,,,,,,False,False,False,False,True
,GC0498,"r,u,y",201.255662,-43.096247,6.0,21.56,20.69,472.0,36.0,r,,,,False,False,False,False,True
,C128,"l,n,u,y",201.256125,-43.142494,8.02,21.98,21.11,,,,,,,False,False,False,False,True
,pff-gc-029,"g,i,l,n,r,u,x,y",201.256653,-42.911317,8.68,19.39,19.23,603.0,32.0,r,,,,False,False,False,False,True
226626.0,C129,"l,n,u,y",201.256779,-42.847558,12.09,21.68,20.93,,,,,0.9256,silver,True,True,True,True,True
,pff-gc-030,"g,i,n,q,x,y",201.257162,-43.002731,4.97,20.35,19.47,306.0,48.0,q,,,,False,False,False,False,True
,HHH86-4,"c,d,g,i,j,l,n,o,u,x,y",201.257563,-43.157065,8.71,18.35,17.72,724.0,46.0,o,,,,False,False,False,False,True
,GC0499,"r,u,y",201.25759,-43.063361,4.93,21.69,20.86,600.0,35.0,r,,,,False,False,False,False,True
226711.0,C130,"l,n,r,u,x,y",201.257755,-42.874367,10.6,20.64,20.03,635.0,73.0,r,,0.9916,silver,True,True,True,True,True
,GC0583,"r,u,y",201.259158,-42.947628,6.86,21.04,20.33,602.0,84.0,r,,,,False,False,False,False,True
227051.0,pff-gc-031,"g,i,l,n,r,x,y",201.261453,-43.189257,10.33,19.8,19.17,456.0,26.0,r,1.0,0.9999,gold,True,True,True,True,True
,GC0454,"q,r,y",201.261766,-43.034556,4.42,20.22,19.37,399.0,24.0,r,,,,False,False,False,False,True
,HGHH-G176,"d,g,i,n,o,q,r,u,y",201.263016,-42.940278,7.09,19.4,18.59,523.0,8.0,r,,,,False,False,False,False,True
,HGHH-G66,"d,g,i,n,q,r,u,y",201.263199,-43.050694,4.47,19.15,18.36,577.0,5.0,r,,,,False,False,False,False,True
,pff-gc-032,"g,i,n,o,r,u,y",201.263472,-42.961243,6.14,20.14,19.44,648.0,29.0,r,,,,False,False,False,False,True
227278.0,pff-gc-033,"g,i,n,y",201.263862,-43.257613,14.11,19.91,19.01,531.0,18.0,n,1.0,1.0,gold,True,True,True,True,True
227290.0,HHH86-32,"c,f,g,h,i,j,l,n,o,r,u,y",201.264023,-42.846102,12.05,18.9,18.05,718.0,10.0,r,,0.04636,gold,True,False,False,True,True
227289.0,pff-gc-034,"g,i,l,n,y",201.264006,-43.194362,10.56,20.25,19.61,605.0,46.0,n,,0.9963,silver,True,True,True,True,True
,GC0500,"r,u,y",201.265047,-43.027944,4.29,21.25,20.69,386.0,52.0,r,,,,False,False,False,False,True
227405.0,C131,"l,n,r,u,x,y",201.265303,-42.85601,11.48,20.98,20.38,425.0,34.0,r,,0.9998,silver,True,True,True,True,True
,GC0116,"n,o,q,u,y",201.267205,-43.005444,4.51,19.66,19.02,733.0,54.0,q,,,,False,False,False,False,True
227608.0,GC0423,"r,y",201.267847,-43.286355,15.71,21.49,20.77,524.0,41.0,r,,0.7411,silver,True,False,False,True,True
,pff-gc-035,"g,i,l,n,o,r,x,y",201.268586,-43.180141,9.7,20.2,19.37,626.0,22.0,r,,,,False,False,False,False,True
,HGHH-43,"d,g,i,l,n,o,r,u,y",201.269991,-43.160792,8.64,18.98,18.32,481.0,10.0,r,,,,False,False,False,False,True
,7,"i,j,n,q,r,u,y",201.270928,-42.954215,6.23,17.86,17.14,677.0,7.0,r,,,,False,False,False,False,True
,GC0455,"q,r,y",201.270977,-43.026,4.04,20.97,20.17,498.0,27.0,r,,,,False,False,False,False,True
,HGHH-G35,"d,g,i,n,q,r,u,x,y",201.271986,-42.968252,5.58,20.06,19.29,787.0,19.0,r,,,,False,False,False,False,True
228034.0,pff-gc-036,"g,i,n,o,r,y",201.272683,-43.234055,12.65,19.32,18.58,679.0,13.0,r,,0.0004444,gold,True,False,False,True,True
,HHH86-12,"c,d,g,i,l,m,n,r,s,x,y",201.273746,-43.175226,9.34,18.39,17.57,436.0,10.0,s,,,,False,False,False,False,True
,HGHH-G342,"d,g,j,n,o,q,y",201.274249,-42.9835,4.9,18.61,17.84,481.0,27.0,q,,,,False,False,False,False,True
228303.0,GC0501,"r,y",201.275612,-42.771849,16.16,21.11,20.34,564.0,71.0,r,,0.8767,silver,True,True,True,True,True
228330.0,HHH86-13,"g,i,j,n,o,r,y",201.275954,-43.253218,13.7,19.03,18.19,597.0,10.0,r,1.0,1.0,gold,True,True,True,True,True
,GC0502,"r,u,y",201.277819,-43.149512,7.88,21.85,20.95,240.0,53.0,r,,,,False,False,False,False,True
,GC0456,"q,r,y",201.278006,-42.988083,4.6,19.03,18.48,443.0,19.0,r,,,,False,False,False,False,True
,GC0457,"q,r,u,y",201.278447,-42.95892,5.8,20.62,19.76,587.0,25.0,r,,,,False,False,False,False,True
,LDSS2-20871,"q,r,u,y",201.278698,-43.0445,3.73,20.04,19.39,354.0,14.0,r,,,,False,False,False,False,True
,GC0127,"n,o,q,u,x,y",201.280502,-43.105715,5.62,20.44,19.71,700.0,36.0,q,,,,False,False,False,False,True
,R276,"g,n,r,u,x,y",201.280519,-43.141559,7.4,21.13,20.47,550.0,28.0,r,,,,False,False,False,False,True
,GC0503,"r,y",201.280746,-43.056639,3.84,20.52,19.95,670.0,41.0,r,,,,False,False,False,False,True
228812.0,pff-gc-037,"g,i,n,r,x,y",201.281173,-43.208196,11.06,20.81,20.14,548.0,21.0,r,1.0,0.9993,gold,True,True,True,True,True
,18,"i,j,n,q,r,u,x,y",201.281834,-43.020889,3.62,18.62,17.77,689.0,11.0,r,,,,False,False,False,False,True
,GC0458,"q,r,u,y",201.282141,-42.930413,7.12,21.32,21.04,533.0,32.0,r,,,,False,False,False,False,True
,47,"i,j,l,n,q,r,u,y",201.285499,-43.049278,3.5,19.36,18.53,361.0,12.0,r,,,,False,False,False,False,True
,pff-gc-038,"g,i,n,q,u,y",201.286722,-43.070806,4.0,19.76,18.96,436.0,16.0,q,,,,False,False,False,False,True
,R271,"g,l,n,u,x,y",201.286662,-43.152657,7.87,19.76,19.14,436.0,45.0,n,,,,False,False,False,False,True
,f2.GC-70,"i,l,r,u,y",201.28725,-43.148238,7.62,20.62,20.12,678.0,26.0,r,,,,False,False,False,False,True
,f2.GC-69,"i,l,r,u,y",201.287804,-43.167212,8.65,20.35,19.61,552.0,26.0,r,,,,False,False,False,False,True
,GC0134,"n,o,q,y",201.288309,-42.983111,4.44,18.14,17.51,630.0,33.0,q,,,,False,False,False,False,True
,pff-gc-040,"g,i,n,r,u,y",201.289711,-42.921783,7.43,19.44,18.85,448.0,23.0,r,,,,False,False,False,False,True
,LDSS2-34333,"q,r,u,x,y",201.290026,-43.0772,4.11,20.86,20.26,648.0,19.0,r,,,,False,False,False,False,True
,HGHH-G329,"d,g,i,n,o,u,y",201.292425,-43.035186,3.07,20.37,19.37,485.0,34.0,o,,,,False,False,False,False,True
,GC0138,"n,o,r,u,y",201.292791,-42.89248,9.0,18.21,17.43,416.0,8.0,r,,,,False,False,False,False,True
229997.0,HHH86-14,"c,g,i,j,l,n,o,y",201.293726,-42.747983,17.4,18.45,17.74,723.0,41.0,o,1.0,1.0,gold,True,True,True,True,True
,AAT113992,"l,n,o,u,x,y",201.293738,-43.056669,3.31,20.84,20.05,648.0,58.0,o,,,,False,False,False,False,True
,C133,"l,n,u,y",201.296102,-43.025529,2.95,20.23,19.27,,,,,,,False,False,False,False,True
230226.0,H12-69,"w,y,z",201.296298,-43.509212,28.68,,,548.0,1.0,z,,,,False,False,False,True,False
,pff-gc-041,"g,i,j,l,n,q,r,u,x,y",201.296487,-43.052661,3.11,19.87,19.24,426.0,21.0,r,,,,False,False,False,False,True
,HGHH-G327,"d,g,i,n,o,r,u,x,y",201.299843,-43.072031,3.58,20.3,19.46,622.0,18.0,r,,,,False,False,False,False,True
,HGHH-G81,"d,g,i,n,q,r,u,y",201.300432,-42.956994,5.34,18.99,18.28,490.0,10.0,r,,,,False,False,False,False,True
230667.0,pff-gc-042,"g,i,n,o,r,y",201.300822,-43.276057,14.79,19.24,18.54,573.0,16.0,r,1.0,1.0,gold,True,True,True,True,True
,GC0147,"n,o,u,x,y",201.301402,-42.968781,4.72,20.86,20.14,754.0,143.0,o,,,,False,False,False,False,True
230749.0,pff-gc-043,"g,i,n,o,r,y",201.301817,-43.235389,12.39,19.71,18.95,526.0,33.0,r,,1.0,silver,True,True,True,True,True
,GC0505,"r,u,y",201.302909,-43.032194,2.61,20.67,19.85,578.0,20.0,r,,,,False,False,False,False,True
,f2.GC-63,"i,r,y",201.303217,-43.178745,9.08,21.32,20.49,280.0,29.0,r,,,,False,False,False,False,True
,88,"i,j,n,r,u,x,y",201.303517,-42.94994,5.64,19.89,19.28,664.0,141.0,r,,,,False,False,False,False,True
